graphs-fixflo,1.14156 , 6.286389 , 0.181593
graphs-nothing,1.14194 , 5.903359 , 0.193438
hash,0.018172 , 4.921972 , 0.00369202
hash2,0.017025 , 5.084895 , 0.00334815
heapsort,0.259177 , 4.069738 , 0.063684
lattice-fixflo,0.346112 , 3.949659 , 0.0876309
lattice-nothing,0.338708 , 3.927345 , 0.0862435
lists,6.86708 , 9.452381 , 0.726493
mandelbrot-generic,0.111338 , 6.246790 , 0.0178232
mandelbrot,0.028044 , 5.736232 , 0.00488892
matrix-fixflo,0.761302 , 5.593172 , 0.136113
matrix-nothing,0.796792 , 5.547840 , 0.143622
matrix,0.047237 , 4.459567 , 0.0105923
maze-nothing,1.19362 , 3.828515 , 0.311772
mazefun-fixflo,0.305545 , 3.913792 , 0.0780688
mazefun-nothing,0.349037 , 4.042753 , 0.0863365
mbrot-fixflo,0.029266 , 5.176407 , 0.00565373
mbrot-nothing,0.037254 , 5.245407 , 0.00710221
meteor,0.288298 , 0.909456 , 0.317
moments,0.611302 , 5.918299 , 0.10329
nbody-generic,0.05206 , 5.015302 , 0.0103802
nbody,0.047065 , 4.759849 , 0.00988792
nbody-vec-generic,0.0975 , 6.352882 , 0.0153474
nbody-vec,0.061232 , 5.471136 , 0.0111918
nboyer-fixflo,0.374443 , 4.672477 , 0.080138
nboyer-nothing,0.373299 , 4.661841 , 0.0800754
nestedloop,0.017318 , 4.182236 , 0.00414085
no-callgraph-bubble-chaperone,0.030731 , 0.796107 , 0.0386016
no-callgraph-bubble-direct,0.036365 , 0.673880 , 0.0539636
no-callgraph-bubble-unsafe,0.032376 , 0.542715 , 0.0596556
no-callgraph-bubble-unsafe2,0.041769 , 0.537704 , 0.0776803
no-callgraph-church-chaperone,0.076968 , 8.877176 , 0.00867032
no-callgraph-church-contract,0.066763 , 2.206579 , 0.0302563
no-callgraph-church-direct,0.038943 , 18.962250 , 0.00205371
no-callgraph-church-wrap,0.044963 , 3.117381 , 0.0144233
no-callgraph-ode-contract,0.175614 , 4.625659 , 0.0379652
no-callgraph-ode-direct,0.156101 , 2.606392 , 0.0598916
no-callgraph-pff.rkt,2.69797 , 19.670353 , 0.137159
no-callgraph-proc-bm-chaperone+return,0.008144 , 0.079325 , 0.102666
no-callgraph-proc-bm-chaperone,0.008271 , 0.076180 , 0.108572
no-callgraph-proc-bm-direct,0.006763 , 0.019486 , 0.34707
no-callgraph-proc-bm-impersonate+return,0.007699 , 0.079136 , 0.0972882
no-callgraph-proc-bm-impersonate,0.008185 , 0.075253 , 0.108766
no-callgraph-proc-bm-indirect,0.006942 , 0.019666 , 0.352995
no-callgraph-proc-bm-wrapped+check,0.007509 , 0.020227 , 0.371236
no-callgraph-proc-bm-wrapped+return,0.007286 , 0.020090 , 0.362668
no-callgraph-proc-bm-wrapped,0.007362 , 0.020070 , 0.366816
no-callgraph-struct-bm-chaperone,0.008418 , 0.134133 , 0.0627586
no-callgraph-struct-bm-direct,0.006823 , 0.132266 , 0.0515854
no-callgraph-struct-bm-impersonate,0.00797 , 0.133546 , 0.0596798
no-callgraph-struct-bm-unsafe,0.006986 , 0.133442 , 0.0523523
no-callgraph-struct-bm-unsafe2,0.006877 , 0.132372 , 0.0519521
nqueens-fixflo,0.062021 , 5.257840 , 0.0117959
nqueens-nothing,0.065179 , 5.535854 , 0.011774
nsieve,0.621233 , 3.934582 , 0.15789
nsievebits,0.023769 , 1.213831 , 0.0195818
nucleic-nothing,5.64177 , 12.161445 , 0.463906
ode-contract,0.337136 , 2.786060 , 0.121008
ode-direct,0.196973 , 2.247450 , 0.0876429
paraffins-fixflo,0.33518 , 4.191048 , 0.0799752
paraffins-nothing,0.404217 , 3.987477 , 0.101372
parsing-fixflo,0.729121 , 4.925492 , 0.14803
parsing-nothing,0.737922 , 4.923902 , 0.149865
partialsums,0.02309 , 4.749258 , 0.00486181
perm9-fixflo,0.105555 , 6.035458 , 0.0174891
perm9-nothing,0.103246 , 5.496821 , 0.0187829
peval-fixflo,1.13111 , 4.259020 , 0.26558
peval-nothing,1.12028 , 4.217221 , 0.265644
pff.rkt,0.643856 , 2.303827 , 0.279472
pi-fixflo,0.055152 , 5.192252 , 0.010622
pi-nothing,0.057355 , 5.227206 , 0.0109724
pidigits,0.049783 , 4.838976 , 0.0102879
pidigits1,0.035648 , 4.533446 , 0.00786333
pnpoly-fixflo,0.105005 , 4.900820 , 0.021426
pnpoly-nothing,0.123287 , 5.066386 , 0.0243343
primes-fixflo,0.027182 , 4.487450 , 0.00605734
primes-nothing,0.027874 , 4.463171 , 0.00624534
proc-bm-chaperone+return,0.007383 , 0.088531 , 0.0833945
proc-bm-chaperone,0.007256 , 0.079109 , 0.0917215
proc-bm-direct,0.006503 , 0.019279 , 0.33731
proc-bm-impersonate+return,0.007169 , 0.086741 , 0.0826483
proc-bm-impersonate,0.007257 , 0.078435 , 0.0925225
proc-bm-indirect,0.006491 , 0.019231 , 0.337528
proc-bm-wrapped+check,0.006917 , 0.019639 , 0.352207
proc-bm-wrapped+return,0.007549 , 0.020333 , 0.371268
proc-bm-wrapped,0.006703 , 0.019445 , 0.344716
puzzle-fixflo,0.136183 , 5.425286 , 0.0251015
puzzle-nothing,0.167552 , 5.546957 , 0.0302061
random,0.010637 , 5.279895 , 0.00201462
ray-nothing,0.447867 , 5.539360 , 0.0808518
recursive,0.029551 , 11.437170 , 0.00258377
regexmatch,0.174614 , 2.337710 , 0.0746945
sboyer-fixflo,0.339929 , 4.172906 , 0.081461
sboyer-nothing,0.336247 , 4.145855 , 0.0811044
scheme-nothing,0.331171 , 5.345593 , 0.0619522
sieve,0.019278 , 4.771109 , 0.00404057
simplex-nothing,0.265573 , 4.105896 , 0.0646809
spectralnorm-generic,0.077702 , 5.391824 , 0.0144111
spectralnorm,0.048966 , 6.688763 , 0.00732064
spellcheck,0.018335 , 5.283200 , 0.00347043
strcat,0.007656 , 131.593979 , 5.8179e-05
string-fixflo,0.028176 , 5.590567 , 0.00503992
string-nothing,0.034649 , 5.354425 , 0.0064711
struct-bm-chaperone,0.00752 , 0.133177 , 0.0564662
struct-bm-direct,0.006782 , 0.132380 , 0.0512313
struct-bm-impersonate,0.007864 , 0.134026 , 0.0586752
struct-bm-unsafe,0.006767 , 0.132311 , 0.0511447
struct-bm-unsafe2,0.00667 , 0.132403 , 0.0503765
sum-fixflo,0.006551 , 5.084354 , 0.00128846
sum-nothing,0.007216 , 5.059858 , 0.00142613
sum1-fixflo,0.00434 , 6.037484 , 0.000718842
sum1-nothing,0.00353 , 5.929107 , 0.000595368
sumcol,0.011103 , 2.599916 , 0.00427052
sumfp-fixflo,0.006592 , 5.230065 , 0.0012604
sumfp-nothing,0.007337 , 5.233507 , 0.00140193
sumloop-fixflo,0.004042 , 5.014429 , 0.000806074
sumloop-nothing,0.003599 , 5.015407 , 0.000717589
tail-fixflo,0.017205 , 4.909250 , 0.00350461
tail-nothing,0.016451 , 4.889838 , 0.00336432
tak-fixflo,0.023009 , 4.202522 , 0.00547505
tak-nothing,0.037163 , 6.521760 , 0.00569831
takl-fixflo,0.019377 , 5.817523 , 0.0033308
takl-nothing,0.021513 , 5.788596 , 0.00371645
trav1-fixflo,0.19521 , 4.757255 , 0.0410342
trav1-nothing,0.23287 , 4.836193 , 0.0481515
trav2-fixflo,0.149764 , 4.540321 , 0.0329853
trav2-nothing,0.144551 , 4.483335 , 0.0322418
triangl-fixflo,0.035902 , 4.626605 , 0.0077599
triangl-nothing,0.038145 , 4.654697 , 0.00819495
wc-fixflo,0.009272 , 6.142757 , 0.00150942
wc-nothing,0.008501 , 5.746425 , 0.00147935
wc,0.016888 , 3.363742 , 0.0050206
wordfreq,0.009948 , 3.360989 , 0.00295984
